"filename", "language", "Python", "Markdown", "JSON", "comment", "blank", "total"
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\__init__.py", "Python", 0, 0, 0, 0, -1, -1
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\api\__init__.py", "Python", 0, 0, 0, 0, -1, -1
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\api\auth.py", "Python", -68, 0, 0, -11, -23, -102
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\api\chat.py", "Python", -48, 0, 0, -14, -14, -76
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\api\health.py", "Python", -68, 0, 0, -4, -15, -87
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\api\ingest.py", "Python", -112, 0, 0, -4, -29, -145
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\api\search.py", "Python", -20, 0, 0, 0, -6, -26
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\api\source.py", "Python", -24, 0, 0, -4, -6, -34
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\app_factory.py", "Python", -36, 0, 0, -15, -11, -62
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\cache\redis_cache.py", "Python", -100, 0, 0, -7, -34, -141
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\cache\semantic_cache.py", "Python", -147, 0, 0, -13, -29, -189
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\config.py", "Python", -106, 0, 0, -94, -7, -207
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\core\__init__.py", "Python", 0, 0, 0, 0, -1, -1
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\core\models.py", "Python", -53, 0, 0, 0, -12, -65
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\deps.py", "Python", -204, 0, 0, -16, -46, -266
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\generation\faithfulness.py", "Python", -57, 0, 0, 0, -20, -77
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\generation\llm_client.py", "Python", -43, 0, 0, -4, -10, -57
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\generation\prompts.py", "Python", -98, 0, 0, -7, -17, -122
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\ingest_main.py", "Python", -19, 0, 0, -4, -10, -33
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\ingestion\backfill.py", "Python", -85, 0, 0, -4, -20, -109
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\ingestion\canonical.py", "Python", -129, 0, 0, -2, -23, -154
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\ingestion\change_detection.py", "Python", -315, 0, 0, -23, -53, -391
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\ingestion\chunker.py", "Python", -687, 0, 0, -29, -160, -876
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\ingestion\embedder.py", "Python", -21, 0, 0, 0, -6, -27
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\ingestion\extractors\camelot_tables.py", "Python", -73, 0, 0, -21, -17, -111
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\ingestion\extractors\drupal_extractor.py", "Python", -536, 0, 0, -44, -85, -665
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\ingestion\extractors\ocr.py", "Python", 0, 0, 0, 0, -1, -1
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\ingestion\extractors\pdf_extractor.py", "Python", -375, 0, 0, -38, -101, -514
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\ingestion\extractors\pymupdf_local.py", "Python", -143, 0, 0, -48, -34, -225
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\ingestion\extractors\text_normalize.py", "Python", -202, 0, 0, -52, -49, -303
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\ingestion\indexer.py", "Python", -103, 0, 0, 0, -39, -142
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\ingestion\ingest_log.py", "Python", -105, 0, 0, -60, -19, -184
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\ingestion\pipeline.py", "Python", -248, 0, 0, -19, -53, -320
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\ingestion\state.py", "Python", -337, 0, 0, -38, -40, -415
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\ingestion\upload.py", "Python", -94, 0, 0, 0, -23, -117
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\counting_test\README.md", "Markdown", 0, -22, 0, 0, -9, -31
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\counting_test\__init__.py", "Python", 0, 0, 0, 0, -1, -1
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\counting_test\run.py", "Python", -135, 0, 0, -20, -32, -187
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\drupal_extraction_test\README.md", "Markdown", 0, -45, 0, 0, -12, -57
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\drupal_extraction_test\__init__.py", "Python", 0, 0, 0, 0, -1, -1
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\drupal_extraction_test\run.py", "Python", -422, 0, 0, -56, -67, -545
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\README.md", "Markdown", 0, -34, 0, 0, -10, -44
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\__init__.py", "Python", 0, 0, 0, 0, -1, -1
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\_index.json", "JSON", 0, 0, -515, 0, 0, -515
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\_index.md", "Markdown", 0, -21, 0, 0, -3, -24
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\achieving_green_steel_roadmap\00_summary.json", "JSON", 0, 0, -39, 0, 0, -39
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\achieving_green_steel_roadmap\01_pages.md", "Markdown", 0, -1560, 0, 0, -157, -1717
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\achieving_green_steel_roadmap\02_tables.md", "Markdown", 0, -147, 0, 0, -16, -163
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\achieving_green_steel_roadmap\03_chunks.md", "Markdown", 0, -1290, 0, 0, -298, -1588
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\achieving_green_steel_roadmap\04_metadata.json", "JSON", 0, 0, -92, 0, 0, -92
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\achieving_green_steel_roadmap\04_metadata.md", "Markdown", 0, -22, 0, 0, -5, -27
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\achieving_green_steel_roadmap\05_qdrant_points.json", "JSON", 0, 0, -254647, 0, 0, -254647
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\achieving_green_steel_roadmap\05_qdrant_points.md", "Markdown", 0, -2656, 0, 0, -250, -2906
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\achieving_green_steel_roadmap\full_text.md", "Markdown", 0, -1495, 0, 0, -92, -1587
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\act4earth_policybrief_sustainable_consumption_lifestyles\00_summary.json", "JSON", 0, 0, -31, 0, 0, -31
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\act4earth_policybrief_sustainable_consumption_lifestyles\01_pages.md", "Markdown", 0, -848, 0, 0, -47, -895
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\act4earth_policybrief_sustainable_consumption_lifestyles\02_tables.md", "Markdown", 0, -236, 0, 0, -20, -256
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\act4earth_policybrief_sustainable_consumption_lifestyles\03_chunks.md", "Markdown", 0, -720, 0, 0, -122, -842
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\act4earth_policybrief_sustainable_consumption_lifestyles\04_metadata.json", "JSON", 0, 0, -52, 0, 0, -52
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\act4earth_policybrief_sustainable_consumption_lifestyles\04_metadata.md", "Markdown", 0, -22, 0, 0, -5, -27
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\act4earth_policybrief_sustainable_consumption_lifestyles\05_qdrant_points.json", "JSON", 0, 0, -108699, 0, 0, -108699
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\act4earth_policybrief_sustainable_consumption_lifestyles\05_qdrant_points.md", "Markdown", 0, -1139, 0, 0, -109, -1248
"d:\OneDrive - The Energy and Resources Institute\Desktop\My_Files\Projects\Agentic-RAG-Chatbot\app\local_tests\pdf_extraction_test\results\act4earth_policybrief_sustainable_consumption_lifestyles\full_text.md", "Markdown", 0, -827, 0, 0, -26, -853
